Image1,Image2,Angle1_deg,Angle2_deg,Delta_deg
phantom_lbl_0082.png,phantom_lbl_0083.png,324.11,328.69,4.58
phantom_lbl_0083.png,phantom_lbl_0084.png,328.69,336.53,7.84
phantom_lbl_0084.png,phantom_lbl_0085.png,336.53,315.41,-21.11
phantom_lbl_0085.png,phantom_lbl_0086.png,315.41,408.12,92.71
phantom_lbl_0086.png,phantom_lbl_0087.png,408.12,407.74,-0.38
phantom_lbl_0087.png,phantom_lbl_0088.png,407.74,377.91,-29.83
phantom_lbl_0088.png,phantom_lbl_0089.png,377.91,440.62,62.71
phantom_lbl_0089.png,phantom_lbl_0090.png,440.62,56.37,-384.25
phantom_lbl_0090.png,phantom_lbl_0091.png,56.37,391.34,334.97
phantom_lbl_0091.png,phantom_lbl_0092.png,391.34,302.97,-88.37
phantom_lbl_0092.png,phantom_lbl_0093.png,302.97,323.05,20.08
phantom_lbl_0093.png,phantom_lbl_0094.png,323.05,231.79,-91.26
phantom_lbl_0094.png,phantom_lbl_0095.png,231.79,227.33,-4.46
phantom_lbl_0095.png,phantom_lbl_0096.png,227.33,265.16,37.83
phantom_lbl_0096.png,phantom_lbl_0097.png,265.16,232.03,-33.13
phantom_lbl_0097.png,phantom_lbl_0098.png,232.03,259.99,27.96
phantom_lbl_0098.png,phantom_lbl_0099.png,259.99,254.08,-5.91
phantom_lbl_0099.png,phantom_lbl_0100.png,254.08,250.67,-3.41
phantom_lbl_0100.png,phantom_lbl_0101.png,250.67,53.46,-197.22
phantom_lbl_0101.png,phantom_lbl_0102.png,53.46,223.94,170.48
phantom_lbl_0102.png,phantom_lbl_0103.png,223.94,256.46,32.52
phantom_lbl_0103.png,phantom_lbl_0104.png,256.46,254.76,-1.70
phantom_lbl_0104.png,phantom_lbl_0105.png,254.76,267.55,12.79
phantom_lbl_0105.png,phantom_lbl_0106.png,267.55,223.57,-43.98
phantom_lbl_0106.png,phantom_lbl_0107.png,223.57,219.89,-3.68
phantom_lbl_0107.png,phantom_lbl_0108.png,219.89,231.31,11.41
phantom_lbl_0108.png,phantom_lbl_0109.png,231.31,205.82,-25.49
phantom_lbl_0109.png,phantom_lbl_0110.png,205.82,213.16,7.34
phantom_lbl_0110.png,phantom_lbl_0111.png,213.16,213.43,0.27
phantom_lbl_0111.png,phantom_lbl_0112.png,213.43,79.19,-134.24
phantom_lbl_0112.png,phantom_lbl_0113.png,79.19,32.58,-46.61
phantom_lbl_0113.png,phantom_lbl_0114.png,32.58,212.41,179.83
phantom_lbl_0114.png,phantom_lbl_0115.png,212.41,208.55,-3.87
phantom_lbl_0115.png,phantom_lbl_0116.png,208.55,194.80,-13.74
phantom_lbl_0116.png,phantom_lbl_0117.png,194.80,209.22,14.42
phantom_lbl_0117.png,phantom_lbl_0118.png,209.22,187.06,-22.16
phantom_lbl_0118.png,phantom_lbl_0119.png,187.06,215.95,28.88
phantom_lbl_0119.png,phantom_lbl_0120.png,215.95,204.17,-11.78
phantom_lbl_0120.png,phantom_lbl_0121.png,204.17,229.22,25.06
phantom_lbl_0121.png,phantom_lbl_0122.png,229.22,204.54,-24.69
phantom_lbl_0122.png,phantom_lbl_0123.png,204.54,229.39,24.86
phantom_lbl_0123.png,phantom_lbl_0124.png,229.39,12.27,-217.12
phantom_lbl_0124.png,phantom_lbl_0125.png,12.27,196.27,183.99
phantom_lbl_0125.png,phantom_lbl_0126.png,196.27,208.16,11.90
phantom_lbl_0126.png,phantom_lbl_0127.png,208.16,192.08,-16.08
phantom_lbl_0127.png,phantom_lbl_0128.png,192.08,204.60,12.51
phantom_lbl_0128.png,phantom_lbl_0129.png,204.60,205.47,0.87
phantom_lbl_0129.png,phantom_lbl_0130.png,205.47,206.68,1.21
phantom_lbl_0130.png,phantom_lbl_0131.png,206.68,194.94,-11.74
phantom_lbl_0131.png,phantom_lbl_0132.png,194.94,200.23,5.28
phantom_lbl_0132.png,phantom_lbl_0133.png,200.23,203.47,3.24
phantom_lbl_0133.png,phantom_lbl_0134.png,203.47,230.77,27.30
phantom_lbl_0134.png,phantom_lbl_0135.png,230.77,17.52,-213.25
phantom_lbl_0135.png,phantom_lbl_0136.png,17.52,171.33,153.82
phantom_lbl_0136.png,phantom_lbl_0137.png,171.33,209.80,38.47
phantom_lbl_0137.png,phantom_lbl_0138.png,209.80,203.78,-6.02
phantom_lbl_0138.png,phantom_lbl_0139.png,203.78,171.54,-32.24
phantom_lbl_0139.png,phantom_lbl_0140.png,171.54,203.77,32.23
phantom_lbl_0140.png,phantom_lbl_0141.png,203.77,236.55,32.78
